Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
YEAST 1 (2),KNN,ROC AUC,2.0,4.0,3.0,1.0
YEAST 1 (2),KNN,F1,4.0,3.0,2.0,1.0
YEAST 1 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 1 (2),DT,ROC AUC,4.0,3.0,2.0,1.0
YEAST 1 (2),DT,F1,4.0,3.0,2.0,1.0
YEAST 1 (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 1 (2),GBC,ROC AUC,2.0,3.0,4.0,1.0
YEAST 1 (2),GBC,F1,4.0,3.0,2.0,1.0
YEAST 1 (2),GBC,GEOMETRIC MEAN SCORE,4.0,1.0,3.0,2.0
IRIS (3),LR,ROC AUC,2.5,2.5,2.5,2.5
IRIS (3),LR,F1,2.5,2.5,2.5,2.5
IRIS (3),LR,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
